APP NAME,DEVELOPER EMAIL
7.    Max Antivirus Free 2019,breathsunru@gmail.com
10.    Free Antivirus Plus,aezrieleva1@gmail.com
5.    Snow Drift,info@saygames.by
8.    Brown Dust,Mobilecs@help.pmang.com
2.    FRAG Pro Shooter,support@ohbibi.com
9.    RAID: Shadow Legends,raid.support@plarium.com
11.    Skylanders™ Ring of Heroes,info@com2us.com
3.    Drag n Merge: Block Puzzle,help@metajoy.io
6.    Ms.Sibyl - See Future Me,msoracle2019@gmail.com
1.    Crowd City,support@voodoo.io
4.    Hello Launcher - Doll Emojis & Themes,hello@nileriver.nl
14.    Memoji Launcher - Animoji & Theme for Android,oatsquakermg@gmail.com
17.    Translate,hopuerastu@gmail.com
20.    1010! Color,1010Color@gram.gs
21.    Photo Editor: Pic Collage,photocollagepro2019@gmail.com
15.    Tower Color,contact@homagames.com
22.    Flat Stomach Workout for Female,pavlushkovad1@gmail.com
18.    🍄 Super Boy Adventure&Jungle Adventure,new64games2019@gmail.com
"19.    HiddenMe - Aging Camera, Face Scanner",face.mystery.official@gmail.com
16.    Pop Color   Coloring Pages,support@popcolor.freshdesk.com
12.    Cam Calculator - Smart Math Solver,purifynet3@gmail.com
13.    Hidden Hotel,support.hiddenhotel@whaleapp.com
23.    The Royal Affairs,mobilesupport@r2games.com
"27.    Future Me - Aging Scanner, Baby Prediction",fururemeapps@gmail.com
33.    Free Mp3 Music Downloader,musicvideocooldownload@gmail.com
24.    JAWS.io,support@nbcuniversal.mail.helpshift.com
28.    HD Movies Free - Box Office 2019,murni.movie@gmail.com
29.    Free Music APP - Offline Music Player,zushimekuretsu97@gmail.com
30.    Temple Castle Run,edmondmitchellgstuartbalaami@gmail.com
25.    Workout Plan For Women,EmilyEnjoys11@gmail.com
31.    Accurate scanning of QR code,938318107@qq.com
26.    Free Music – Online Unlimited Music For Free,developer20190226@gmail.com
32.    Mountain Sniper 3D Shooter,milliongamesnew@gmail.com
41.    Hawaiian Airlines,HAMobileApp@hawaiianair.com
36.    Free Trending Music - Music Player,sheltertb@gmail.com
42.    Free Security lite,oysterFletchered15727@gmail.com
34.    Ganster Tycoon,lucreciawang0709@gmail.com
37.    Juicy Fruit,contact@words-mobile.com
43.    Dodgeball.io,info@rollicgames.com
38.    Poly - Colouring Puzzle Art Book,support@easybrain.com
44.    Gold Miner World Tour,feedback@senspark.com
35.    Daily Fat Burning,wennuan1220@gmail.com
39.    Free Security Plus,gumonokenji50@gmail.com
40.    Go Slice,hello@lucky-kat.com
46.    63red Safe,support@63red.com
45.    Criminal Case: The Conspiracy,help@prettysimplegames.com
51.    My Gamepigeon,libenrmqndavid@gmail.com
50.    Football Field Kick,contact@words-mobile.com
"54.    Daily Pixel – Color by Number, Coloring Book Free",developer@quickatom.com
49.    Roller Paint - Splat Puzzle,martgarr936@gmail.com
53.    1945 Classic Arcade,onesoft.studio.game@gmail.com
48.    Car Bumper.io- Bumper car game,gumonokenji50@gmail.com
55.    Gratis Televisión sin Internet,patapia59@gmail.com
47.    Multicraft Crazy Neighbor for MCPE,Audaiduongxanh1988@gmail.com
52.    King of Crabs,support@robotsquid.com
58.    Principal®,DLRISMOBILEAPPDEV@exchange.principal.com
64.    HD Movies Free 2019 - Updated Movies,Akshaykumar77760oo@gmail.com
59.    Decurse – A New Magic Farming Game,info@bigfishgames.com
65.    My Little Pony Pocket Ponies,support@budgestudios.ca
60.    AxE: Alliance vs Empire,help_axe@nexon.com
66.    Mp3 Music Download,gusrywjd87@gmail.com
"57.    Chest Reshape-Beginner,Intermediate,Advanced",vascmoypc@gmail.com
61.    Home Movies 2019,nofrizalrizal85@gmail.com
56.    Legend of Empress,LOE_service@friendtimes.net
62.    Pot Shot,wen85554@gmail.com
63.    Linn: Path of Orchards,josh@crescentmoongames.com
71.    One Hand Operation +,sec.systemui@samsung.com
75.    Last Human Life on Earth,contact@mouse-games.com
69.    Super-Bright LED Flashlight,franciscoshumateatainhandsome@gmail.com
68.    Boiron Medicine Finder,web@boiron.com
76.    Super Cleaner - Antivirus & Junk Cleaner & Booster,supersmartvirus@gmail.com
70.    Police Car Racing,edmondmitchellgstuartbalaami@gmail.com
67.    Cardboard Clash,gamecardboardclash@service.netease.com
72.    Jewel Maker,v2rstd.service@gmail.com
74.    Pick Me Up™,support@tastypill.com
73.    Pixels Beauty Camera 2019,beautycamera@outlook.com
77.    HD Movies 2019 - Free HD Movies Online,undangankawin389@gmail.com
79.    Rolly Running,jinwenhai.global@gmail.com
85.    Equalizer -- Bass Booster & Volume EQ &Virtualizer,smartchen2015@gmail.com
80.    Ant Factory,support@greenpandagames.com
88.    Driving Academy 2: Drive&Park Cars Test Simulator,android@games2win.com
82.    Calculator,franciscoshumateatainhandsome@gmail.com
84.    Scary Leprechaun Launcher - Wallpapers and Icons,themeswallpapersicons@gmail.com
86.    New tips for hello neighbor : Tips 2019,BCompany@admin.com
78.    Dodgeball Duel,support@voodoo.io
81.    Free Movies & Tv Shows,wlovin6apps@gmail.com
87.    Call From Ryans Toy Review - Joke,LiveChatWithMe.TT.Destribustion@gmail.com
83.    The Best Love Math,goodgametmdev@gmail.com
89.    Astrology Predictor-Aging Camera&Hand Lines Reader,tinastudio2019@gmail.com
96.    Digital World: Judgement,ys20190214@gmail.com
91.    Music downloader - Best music downloader 2019,black.mobile19star@gmail.com
97.    Idle Guardians - Endless Idle RPG Games,support@bladefirestudios.com
